page,country,rev_id,Population mid-2018 (millions),prediction
Bir I of Kanem,Chad,355319463.0,15.4,Stub
Abdullah II of Kanem,Chad,498683267.0,15.4,Stub
Salmama II of Kanem,Chad,565745353.0,15.4,Stub
Kuri I of Kanem,Chad,565745365.0,15.4,Stub
Mohammed I of Kanem,Chad,565745375.0,15.4,Stub
Kuri II of Kanem,Chad,669719757.0,15.4,Stub
Bir II of Kanem,Chad,670893206.0,15.4,Stub
Mahamat Hissene,Chad,693055898.0,15.4,Stub
Othman I,Chad,705432607.0,15.4,Stub
Alphonse Kotiga,Chad,707593108.0,15.4,Stub
Oueddei Kichidemi,Chad,708346649.0,15.4,Start
Dunama I,Chad,710675092.0,15.4,Stub
Ahmad (Kanem-Bornu king),Chad,711388267.0,15.4,Stub
Djibrine Kerallah,Chad,712971263.0,15.4,Stub
Maurice Ngangtar,Chad,712971315.0,15.4,Stub
Idriss Miskine,Chad,712971738.0,15.4,Stub
Laoukein Kourayo Médard,Chad,716886170.0,15.4,Stub
Nadji Madou,Chad,716886788.0,15.4,Stub
Noël Milarew Odingar,Chad,716891799.0,15.4,Start
Yaya Dillo Djérou,Chad,717733209.0,15.4,Stub
Acheikh Ibn-Oumar,Chad,719821590.0,15.4,Start
Quatre Sou Quatre,Chad,720066754.0,15.4,Stub
Ali Gazi,Chad,722563340.0,15.4,Stub
Mahamat Djarma Khatir,Chad,725132042.0,15.4,Stub
Dunama IX Lefiami,Chad,731749611.0,15.4,Stub
Dawud of Kanem,Chad,736550266.0,15.4,Stub
Ahmed Koulamallah,Chad,738855197.0,15.4,Start
Abbo Nassour,Chad,741369486.0,15.4,C
Abdel Kader Baba-Laddé,Chad,742213176.0,15.4,Stub
Hummay,Chad,747271475.0,15.4,Stub
Ngarlejy Yorongar,Chad,751304544.0,15.4,C
Saleh Kezabo,Chad,751380073.0,15.4,Stub
Bourkou Louise Kabo,Chad,757072468.0,15.4,Start
Brahim Koulamallah,Chad,757802238.0,15.4,Stub
Saadie Goukouni Weddeye,Chad,757842614.0,15.4,Start
Mahamoud Adam Béchir,Chad,762579466.0,15.4,Start
Kalthouma Nguembang,Chad,762816132.0,15.4,Stub
Djidingar Dono Ngardoum,Chad,764133533.0,15.4,Stub
Youssouf Saleh Abbas,Chad,771052289.0,15.4,B
Koibla Djimasta,Chad,774223245.0,15.4,Start
Nassour Guelendouksia Ouaido,Chad,774223248.0,15.4,C
Joseph Brahim Seid,Chad,777478442.0,15.4,Stub
Joseph Yodoyman,Chad,777550078.0,15.4,Start
Antoine Bangui,Chad,782638002.0,15.4,Start
Ibrahim IV of Bornu,Chad,785614014.0,15.4,Stub
Hadjé Halimé,Chad,786449636.0,15.4,C
Youssouf Togoïmi,Chad,787390241.0,15.4,Start
Adoum Younousmi,Chad,787719236.0,15.4,Start
François Tombalbaye,Chad,787738541.0,15.4,C
Ahmat Hassaballah Soubiane,Chad,787910771.0,15.4,Stub
Ahmad Allam-Mi,Chad,787921293.0,15.4,Start
Laotegguelnodji Koumtog,Chad,788009613.0,15.4,Stub
Mahamat Ali Adoum,Chad,788014671.0,15.4,Start
Mahamat Saleh Annadif,Chad,788658822.0,15.4,Start
Mohamed Bechir-Sow,Chad,788827248.0,15.4,Stub
Gontchomé Sahoulba,Chad,788828388.0,15.4,Start
Gabriel Lisette,Chad,788828519.0,15.4,Start
Ali II of Bornu,Chad,788999424.0,15.4,Stub
Arabi El Goni,Chad,789126126.0,15.4,Stub
Dunama Dabbalemi,Chad,789935196.0,15.4,Start
Idris Alooma,Chad,792734868.0,15.4,Start
Mahamat Nouri,Chad,792954115.0,15.4,FA
Idriss Ndele Moussa,Chad,796654025.0,15.4,Start
Mbaydoum Simeon,Chad,796690873.0,15.4,Stub
Ngarindo Milengar,Chad,796700718.0,15.4,Stub
List of Prime Ministers of Chad,Chad,797747674.0,15.4,Start
Idriss Déby,Chad,798286150.0,15.4,C
Saleh Kebzabo,Chad,798626040.0,15.4,C
Moussa Faki,Chad,799043301.0,15.4,C
Kalzeubet Pahimi Deubet,Chad,799413193.0,15.4,Stub
Haroun Kabadi,Chad,799447895.0,15.4,Start
Nagoum Yamassoum,Chad,799447995.0,15.4,Start
Outel Bono,Chad,799448338.0,15.4,Start
Ahmat Acyl,Chad,799902492.0,15.4,C
Djimrangar Dadnadji,Chad,800133552.0,15.4,Start
Delwa Kassiré Koumakoye,Chad,801029539.0,15.4,C
Fidèle Moungar,Chad,801192255.0,15.4,C
Jean Alingué Bawoyeu,Chad,801192303.0,15.4,B
Emmanuel Nadingar,Chad,801573576.0,15.4,C
Roger Djikisna,Chad,801583221.0,15.4,Stub
Firmin Djidingar,Chad,801583260.0,15.4,Stub
Idris I of Kanem,Chad,802874918.0,15.4,Stub
Vice President of Chad,Chad,803166509.0,15.4,Stub
Hissène Habré,Chad,803166806.0,15.4,GA
Negue Djogo,Chad,803166989.0,15.4,Start
Wadel Abdelkader Kamougué,Chad,803167152.0,15.4,C
Félix Malloum,Chad,803167336.0,15.4,Start
Lol Mahamat Choua,Chad,803167424.0,15.4,C
Goukouni Oueddei,Chad,803167990.0,15.4,C
Albert Pahimi Padacké,Chad,803433107.0,15.4,C
List of heads of state of Chad,Chad,803812011.0,15.4,Start
Elise Loum,Chad,804773540.0,15.4,Start
Agnes Allafi,Chad,805493169.0,15.4,Start
Christine Georges Diguibaye,Chad,806337653.0,15.4,Stub
Pascal Yoadimnadji,Chad,806508985.0,15.4,Start
Aissa Koli,Chad,806616268.0,15.4,Start
Omar I of Kanem,Chad,807425129.0,15.4,Start
Information Minister of the Palestinian National Authority,Palestinian Territory,393276188.0,,Stub
Finance Minister of the Palestinian National Authority,Palestinian Territory,596181202.0,,Start
Planning Minister of the Palestinian National Authority,Palestinian Territory,633612729.0,,Start
Hossam Arafat (politician),Palestinian Territory,680933208.0,,Stub
Tawfik Tirawi,Palestinian Territory,701106976.0,,Start
Isam al-Qadi,Palestinian Territory,706650943.0,,Stub
Hussein al-Araj,Palestinian Territory,707669406.0,,Stub
Mohammad Barghouti,Palestinian Territory,708269321.0,,Stub
Ahmed Khalidi,Palestinian Territory,708495719.0,,Stub
Health Minister of the Palestinian National Authority,Palestinian Territory,708817890.0,,Stub
Qais Abd al-Karim,Palestinian Territory,709529097.0,,Stub
Mahmoud Aloul,Palestinian Territory,709567584.0,,Stub
Victor Batarseh,Palestinian Territory,709994434.0,,Stub
Hanna Nasser (academic),Palestinian Territory,710133339.0,,Start
Anastas Hanania,Palestinian Territory,710390049.0,,Start
Joudeh George Murqos,Palestinian Territory,710676772.0,,Stub
